filename,url,size_bytes,size_mb
Athens - Armchair_room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens%20-%20Armchair_room.jpg,229141,0.22
Athens - Loveseat_room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens%20-%20Loveseat_room.jpg,224765,0.21
Athens - Sectional_room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens%20-%20Sectional_room.jpg,202652,0.19
Athens - Sofa - 2Armchair_room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens%20-%20Sofa%20-%202Armchair_room.jpg,185042,0.18
Athens - Sofa_room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens%20-%20Sofa_room.jpg,219059,0.21
Athens_Sofa-Love-Chair-Otto_Urban-Mahogany818.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens_Sofa-Love-Chair-Otto_Urban-Mahogany818.jpg,193437,0.18
Athens_Sofa-Love-Chair-Otto_Urban-MahoganyRS_121818 Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Athens_Sofa-Love-Chair-Otto_Urban-MahoganyRS_121818%20Cropped.jpg,232886,0.22
Axel_PBRecliner_Wilder-Bark_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Axel_PBRecliner_Wilder-Bark_2023.jpg,235448,0.22
BahamasofaRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BahamasofaRoom1.jpg,196294,0.19
BeaumontSofaRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BeaumontSofaRoom1.jpg,178284,0.17
